Reference,Qty,Function,Specification,DigiKey-verified part,Approx single-qty price,Availability / sourcing note
USB1,1,USB-C power input,5V sink-only USB-C receptacle,"GCT USB4105-GF-A",$0.80,"DigiKey stocked; use correct CC resistors for sink configuration"
CHG1,1,2S Li-ion charger IC,2-cell Li-ion charger from 5V USB input; 8.4V pack target,"Texas Instruments BQ25883RGET",few dollars,"DigiKey active/available; requires datasheet reference-design inductor/caps/resistors"
PROT1,1,2S battery protection IC,2-cell Li-ion over-current/over/under-voltage protection,"ABLIC S-8252AAU-M6T1U",$2.22,"DigiKey stocked; requires external MOSFETs/passives per datasheet"
F1,1,Input fuse,2A fast-blow 5x20mm,"Littelfuse 0217002.MXP (DigiKey F1723-ND)",$0.57,"20k+ reported in stock when checked 2026-08-28"
F1-HOLDER,1,Fuse holder,5x20mm PCB holder 5A,"Keystone 4527 (DigiKey 36-4527-ND)",$0.79,"35k+ reported in stock when checked 2026-08-28"
SW1,1,HV enable control,Normally-open momentary low-voltage switch,"Use wired/panel-switch pads and select any DigiKey switch with verified DC current rating after measuring load",TBD,"Do not lock the PCB to a costly industrial switch"
C1,1,LV bulk capacitor,2200uF 16V radial 105C,"Rubycon 16YXS2200MEFC16X16 (DigiKey 1189-16YXS2200MEFC16X16-ND)",$1.53,"DigiKey stocked when checked 2026-08-28"
C2,0,Optional extra LV bulk capacitor,2200uF 16V radial 105C,"Same as C1",$1.53,"DNP by default; populate only if measured LV sag justifies it"
C3,1,Fast bypass,0.1uF to 1uF 25V ceramic/film,"Select commodity DigiKey part to match final PCB footprint",<$1,"Common stocked part; exact MPN deferred until layout is fixed"
HV1-BUDGET,1,HV insect-zapper module,Sealed/prebuilt 3-6kV-class module sized for insect grid,"NO CHEAP DIGIKEY EQUIVALENT FOUND",~$3-$10 elsewhere,"Budget exception: source sealed commercial zapper module elsewhere; do not build HV converter on PCB"
HV1-DIGIKEY,0,All-DigiKey HV alternative,5000V 2mA 10W commercial HV module,"XP Power FS50P-12 (DigiKey 1470-3295-ND)",industrial-price class,"DigiKey carries it but it defeats the cheap-hobby objective"
HV1-DIGIKEY-LOWER,0,All-DigiKey lower-power HV alternative,3000V 1mA 3W commercial HV module,"XP Power E30 (DigiKey 1470-3993-ND)",$234.68,"DigiKey stocked when checked; still far too expensive for this project"
J2,1,HV module LV interface,Two-position removable connector or solder pads,"Commodity 5.08mm terminal block from DigiKey or direct wire pads",TBD,"Direct solder pads are cheapest"
J3/J4,2,HV grid connection,Insulated flying-lead / terminal interface rated for actual selected HV module,"Select from DigiKey only after exact HV module and insulation system are fixed",TBD,"Do not use ordinary low-voltage terminal blocks at multi-kV potentials"
PCB,1,Carrier PCB,2-layer FR4 with segregated LV/HV regions and routed slot,"Custom Rev C",TBD,"Actual HV creepage/clearance must be validated against selected module and enclosure"
