Reference,Qty,Function,Specification,Recommended Part / Family,Notes
BT1,1,Battery input,Protected 2S Li-ion pack 7.4V nominal; connector rated >=5A,"Phoenix Contact MKDS 1,5/2 5.08mm or equivalent",Do not build a 2S pack from unmatched miscellaneous loose cells; use a protected/BMS-managed pack
F1,1,Input overcurrent fuse,5x20mm fast-acting; START WITH 2A,"Littelfuse 217 Series 2A e.g. 0217002.MXP",Fuse is intentionally the current limit because cell capability is unknown; increase only after identifying/testing cells and BMS
F1-HOLDER,1,Fuse holder,5x20mm PCB holder rated >=5A,"Bel / Stewart FC-203-22 style or equivalent",PCB footprint uses 17.8mm lead spacing
SW1,1,Momentary pushbutton,Normally-open momentary; DC path rated >=10A at <=8.4V,"Panel-mount industrial momentary switch with verified DC rating",Oversized contact rating reduces switch voltage drop; board uses heavy lead pads rather than a tactile-switch footprint
C1,1,Bulk pulse capacitor,2200uF 16V low-ESR radial; 105C,"Panasonic FR/FS or Nichicon low-ESR equivalent",Placed near HV module low-voltage input; confirm 12.5mm-class diameter and 5mm lead pitch
C2,1,Bulk pulse capacitor,2200uF 16V low-ESR radial; 105C,"Panasonic FR/FS or Nichicon low-ESR equivalent",Parallel with C1; total nominal bulk capacitance 4400uF
C3,1,High-frequency bypass,1uF 25V film or low-ESR non-polar capacitor,"WIMA MKS2 family or equivalent",Placed across switched module input to reduce fast supply transients
J2,1,Commercial HV module interface,4 electrical positions: Pin1 +7.4V_SW; Pin2 GND; Pin3 HV_POS; Pin4 HV_NEG,"Custom isolated 4-position flying-lead landing pads",HV pins intentionally separated from LV and from one another; do not substitute a normal close-pitch 4-position connector
J3,1,HV positive mesh output,Single heavy screw terminal; voltage rating >= selected module maximum output,"HV-rated single-position barrier/screw terminal",Exact MPN depends on the commercial HV module maximum output voltage and insulation requirements
J4,1,HV negative mesh output,Single heavy screw terminal; voltage rating >= selected module maximum output,"HV-rated single-position barrier/screw terminal",Exact MPN depends on the commercial HV module maximum output voltage and insulation requirements
HV-MODULE,1,Isolated high-voltage source,Sealed pre-fabricated commercial DC/DC module compatible with 2S input,"User-selected commercial encapsulated module",Module sets sustained mesh power; capacitor bank only improves short transient delivery and input sag
PCB,1,Printed circuit board,2-layer FR4 1.6mm; 3.0mm LV power traces; routed isolation slot; 10mm HV clearance,"Custom PCB Rev B",Board is intentionally overbuilt on LV copper while fuse remains conservative for unknown cells
